flight_id,cycle_number,elapsed_time_sec,start_phase,jet_pipe_temp_degC,gas_gen_speed_rpm,gas_gen_speed_pct,compressor_pressure_ratio,ambient_temp_degC,fuel_valve_steps,fuel_flow_kg_per_hr,vibration_mm_per_sec,secu_processor_ok,built_in_test_pass,mil_1553b_status_word,cycle_status,fault_type,flight_hour_elapsed
56,1,0.0,cranking,60.0,1100,5.0,3.778,11.8,28,1.1,0.77,1,1,0x0000,success,,0.0
56,1,1.0,cranking,119.0,2253,10.24,3.775,11.8,32,1.27,0.81,1,1,0x0000,success,,0.0
56,1,2.0,cranking,155.8,3339,15.18,3.793,11.8,39,1.51,0.86,1,1,0x0000,success,,0.0
56,1,3.0,cranking,187.2,4362,19.83,3.795,11.8,43,1.67,0.94,1,1,0x0000,success,,0.0
56,1,4.0,cranking,215.6,5325,24.2,3.793,11.8,49,1.93,0.94,1,1,0x0000,success,,0.0
56,1,5.0,cranking,241.9,6232,28.33,3.786,11.8,49,1.94,0.92,1,1,0x0000,success,,0.0
56,1,6.0,light-up,266.7,7086,32.21,3.787,11.8,54,2.12,0.92,1,1,0x0000,success,,0.0
56,1,7.0,light-up,290.3,7890,35.87,3.797,11.8,60,2.36,1.03,1,1,0x0000,success,,0.0
56,1,8.0,light-up,312.8,8648,39.31,3.795,11.8,65,2.56,1.0,1,1,0x0000,success,,0.0
56,1,9.0,light-up,334.6,9362,42.55,3.795,11.8,70,2.76,1.0,1,1,0x0000,success,,0.0
56,1,10.0,light-up,355.6,10034,45.61,3.795,11.8,70,2.76,1.15,1,1,0x0000,success,,0.0
56,1,11.0,light-up,376.0,10666,48.48,3.796,11.8,77,3.02,1.18,1,1,0x0000,success,,0.0
56,1,12.0,light-up,395.8,11262,51.19,3.814,11.8,83,3.24,1.15,1,1,0x0000,success,,0.0
56,1,13.0,acceleration,415.2,11824,53.74,3.807,11.8,87,3.41,1.24,1,1,0x0000,success,,0.0
56,1,14.0,acceleration,434.1,12352,56.15,3.806,11.8,88,3.44,1.15,1,1,0x0000,success,,0.0
56,1,15.0,acceleration,452.6,12850,58.41,3.81,11.8,96,3.76,1.26,1,1,0x0000,success,,0.0
56,1,16.0,acceleration,470.7,13319,60.54,3.82,11.8,100,3.92,1.21,1,1,0x0000,success,,0.0
56,1,17.0,acceleration,488.5,13760,62.55,3.821,11.8,102,4.02,1.27,1,1,0x0000,success,,0.0
56,1,18.0,acceleration,506.0,14176,64.44,3.81,11.8,105,4.13,1.3,1,1,0x0000,success,,0.0
56,1,19.0,acceleration,523.2,14568,66.22,3.811,11.8,110,4.32,1.41,1,1,0x0000,success,,0.0
56,1,20.0,acceleration,540.1,14936,67.89,3.829,11.8,112,4.41,1.44,1,1,0x0000,success,,0.0
56,1,21.0,acceleration,556.8,15284,69.47,3.817,11.8,121,4.76,1.39,1,1,0x0000,success,,0.0
56,1,22.0,acceleration,573.3,15611,70.96,3.828,11.8,122,4.78,1.53,1,1,0x0000,success,,0.0
56,1,23.0,acceleration,589.5,15919,72.36,3.829,11.8,129,5.07,1.46,1,1,0x0000,success,,0.0
56,1,24.0,acceleration,605.5,16209,73.68,3.833,11.8,132,5.18,1.59,1,1,0x0000,success,,0.0
56,1,25.0,acceleration,621.3,16482,74.92,3.828,11.8,137,5.37,1.59,1,1,0x0000,success,,0.0
56,1,26.0,self-sustaining,636.9,16739,76.09,3.826,11.8,141,5.54,1.59,1,1,0x0000,success,,0.0
56,1,27.0,self-sustaining,652.4,16982,77.19,3.841,11.8,145,5.69,1.66,1,1,0x0000,success,,0.0
56,1,28.0,self-sustaining,667.7,17210,78.23,3.84,11.8,146,5.74,1.66,1,1,0x0000,success,,0.0
56,1,29.0,self-sustaining,682.8,17425,79.2,3.834,11.8,154,6.05,1.64,1,1,0x0000,success,,0.0
56,1,30.0,self-sustaining,697.7,17627,80.12,3.84,11.8,157,6.17,1.69,1,1,0x0000,success,,0.0
56,1,31.0,self-sustaining,712.5,17818,80.99,3.837,11.8,161,6.32,1.73,1,1,0x0000,success,,0.0
56,1,32.0,self-sustaining,727.2,17997,81.81,3.844,11.8,166,6.51,1.69,1,1,0x0000,success,,0.0
56,1,33.0,self-sustaining,741.7,18166,82.57,3.849,11.8,168,6.57,1.81,1,1,0x0000,success,,0.0
56,1,34.0,self-sustaining,756.1,18325,83.3,3.853,11.8,173,6.79,1.76,1,1,0x0000,success,,0.0
56,1,35.0,self-sustaining,770.4,18475,83.98,3.847,11.8,177,6.93,1.85,1,1,0x0000,success,,0.0
56,1,36.0,self-sustaining,784.5,18617,84.62,3.853,11.8,181,7.09,1.95,1,1,0x0000,success,,0.0
56,1,37.0,self-sustaining,798.6,18750,85.23,3.858,11.8,186,7.31,1.98,1,1,0x0000,success,,0.0
56,1,38.0,self-sustaining,812.5,18875,85.79,3.855,11.8,190,7.44,1.94,1,1,0x0000,success,,0.0
56,1,39.0,self-sustaining,826.3,18993,86.33,3.849,11.8,194,7.62,1.98,1,1,0x0000,success,,0.0
56,1,40.0,self-sustaining,840.0,19104,86.84,3.867,11.8,200,7.84,1.96,1,1,0x0000,success,,0.0
