flight_id,cycle_number,elapsed_time_sec,start_phase,jet_pipe_temp_degC,gas_gen_speed_rpm,gas_gen_speed_pct,compressor_pressure_ratio,ambient_temp_degC,fuel_valve_steps,fuel_flow_kg_per_hr,vibration_mm_per_sec,secu_processor_ok,built_in_test_pass,mil_1553b_status_word,cycle_status,fault_type,flight_hour_elapsed
53,1,0.0,cranking,60.0,1100,5.0,3.785,12.4,33,1.28,0.8,1,1,0x0000,success,,0.0
53,1,1.0,cranking,119.0,2253,10.24,3.788,12.4,36,1.39,0.81,1,1,0x0000,success,,0.0
53,1,2.0,cranking,155.8,3339,15.18,3.788,12.4,41,1.61,0.87,1,1,0x0000,success,,0.0
53,1,3.0,cranking,187.2,4362,19.83,3.796,12.4,41,1.63,0.82,1,1,0x0000,success,,0.0
53,1,4.0,cranking,215.6,5325,24.2,3.795,12.4,49,1.93,0.97,1,1,0x0000,success,,0.0
53,1,5.0,cranking,241.9,6232,28.33,3.795,12.4,50,1.95,0.91,1,1,0x0000,success,,0.0
53,1,6.0,light-up,266.7,7086,32.21,3.798,12.4,54,2.1,1.04,1,1,0x0000,success,,0.0
53,1,7.0,light-up,290.3,7890,35.87,3.796,12.4,58,2.28,1.04,1,1,0x0000,success,,0.0
53,1,8.0,light-up,312.8,8648,39.31,3.8,12.4,62,2.43,1.06,1,1,0x0000,success,,0.0
53,1,9.0,light-up,334.6,9362,42.55,3.801,12.4,66,2.6,1.07,1,1,0x0000,success,,0.0
53,1,10.0,light-up,355.6,10034,45.61,3.809,12.4,70,2.76,1.09,1,1,0x0000,success,,0.0
53,1,11.0,light-up,376.0,10666,48.48,3.802,12.4,79,3.11,1.1,1,1,0x0000,success,,0.0
53,1,12.0,light-up,395.8,11262,51.19,3.804,12.4,81,3.16,1.22,1,1,0x0000,success,,0.0
53,1,13.0,acceleration,415.2,11824,53.74,3.798,12.4,88,3.44,1.13,1,1,0x0000,success,,0.0
53,1,14.0,acceleration,434.1,12352,56.15,3.805,12.4,91,3.59,1.18,1,1,0x0000,success,,0.0
53,1,15.0,acceleration,452.6,12850,58.41,3.807,12.4,94,3.7,1.21,1,1,0x0000,success,,0.0
53,1,16.0,acceleration,470.7,13319,60.54,3.802,12.4,96,3.76,1.31,1,1,0x0000,success,,0.0
53,1,17.0,acceleration,488.5,13760,62.55,3.811,12.4,103,4.03,1.37,1,1,0x0000,success,,0.0
