flight_id,cycle_number,elapsed_time_sec,start_phase,jet_pipe_temp_degC,gas_gen_speed_rpm,gas_gen_speed_pct,compressor_pressure_ratio,ambient_temp_degC,fuel_valve_steps,fuel_flow_kg_per_hr,vibration_mm_per_sec,secu_processor_ok,built_in_test_pass,mil_1553b_status_word,cycle_status,fault_type,flight_hour_elapsed
39,1,0.0,cranking,60.0,1100,5.0,3.779,10.4,33,1.28,0.75,1,1,0x0000,success,,0.0
39,1,1.0,cranking,119.0,2253,10.24,3.777,10.4,33,1.28,0.88,1,1,0x0000,success,,0.0
39,1,2.0,cranking,155.8,3339,15.18,3.789,10.4,39,1.53,0.89,1,1,0x0000,success,,0.0
39,1,3.0,cranking,187.2,4362,19.83,3.791,10.4,42,1.63,0.86,1,1,0x0000,success,,0.0
39,1,4.0,cranking,215.6,5325,24.2,3.785,10.4,47,1.85,0.89,1,1,0x0000,success,,0.0
39,1,5.0,cranking,241.9,6232,28.33,3.786,10.4,52,2.05,0.94,1,1,0x0000,success,,0.0
39,1,6.0,light-up,266.7,7086,32.21,3.786,10.4,54,2.13,1.01,1,1,0x0000,success,,0.0
39,1,7.0,light-up,290.3,7890,35.87,3.8,10.4,60,2.34,0.99,1,1,0x0000,success,,0.0
39,1,8.0,light-up,312.8,8648,39.31,3.794,10.4,66,2.59,1.09,1,1,0x0000,success,,0.0
39,1,9.0,light-up,334.6,9362,42.55,3.804,10.4,70,2.74,1.05,1,1,0x0000,success,,0.0
39,1,10.0,light-up,355.6,10034,45.61,3.798,10.4,73,2.86,1.03,1,1,0x0000,success,,0.0
39,1,11.0,light-up,376.0,10666,48.48,3.809,10.4,77,3.01,1.11,1,1,0x0000,success,,0.0
39,1,12.0,light-up,395.8,11262,51.19,3.812,10.4,79,3.11,1.11,1,1,0x0000,success,,0.0
39,1,13.0,acceleration,415.2,11824,53.74,3.802,10.4,87,3.43,1.25,1,1,0x0000,success,,0.0
39,1,14.0,acceleration,434.1,12352,56.15,3.81,10.4,90,3.55,1.2,1,1,0x0000,success,,0.0
39,1,15.0,acceleration,452.6,12850,58.41,3.809,10.4,94,3.7,1.25,1,1,0x0000,success,,0.0
39,1,16.0,acceleration,470.7,13319,60.54,3.815,10.4,98,3.84,1.26,1,1,0x0000,success,,0.0
