flight_id,cycle_number,elapsed_time_sec,start_phase,jet_pipe_temp_degC,gas_gen_speed_rpm,gas_gen_speed_pct,compressor_pressure_ratio,ambient_temp_degC,fuel_valve_steps,fuel_flow_kg_per_hr,vibration_mm_per_sec,secu_processor_ok,built_in_test_pass,mil_1553b_status_word,cycle_status,fault_type,flight_hour_elapsed
15,1,0.0,cranking,60.0,1100,5.0,3.779,11.1,28,1.11,0.86,1,1,0x0000,success,,0.0
15,1,1.0,cranking,119.0,2253,10.24,3.773,11.1,33,1.28,0.9,1,1,0x0000,success,,0.0
15,1,2.0,cranking,155.8,3339,15.18,3.787,11.1,40,1.58,0.84,1,1,0x0000,success,,0.0
15,1,3.0,cranking,187.2,4362,19.83,3.784,11.1,45,1.78,0.82,1,1,0x0000,success,,0.0
15,1,4.0,cranking,215.6,5325,24.2,3.795,11.1,47,1.84,0.95,1,1,0x0000,success,,0.0
15,1,5.0,cranking,241.9,6232,28.33,3.798,11.1,54,2.1,0.99,1,1,0x0000,success,,0.0
15,1,6.0,light-up,266.7,7086,32.21,3.792,11.1,57,2.25,0.95,1,1,0x0000,success,,0.0
15,1,7.0,light-up,290.3,7890,35.87,3.789,11.1,59,2.3,0.96,1,1,0x0000,success,,0.0
15,1,8.0,light-up,312.8,8648,39.31,3.804,11.1,63,2.45,1.11,1,1,0x0000,success,,0.0
15,1,9.0,light-up,334.6,9362,42.55,3.79,11.1,67,2.62,1.03,1,1,0x0000,success,,0.0
15,1,10.0,light-up,355.6,10034,45.61,3.795,11.1,70,2.75,1.14,1,1,0x0000,success,,0.0
15,1,11.0,light-up,376.0,10666,48.48,3.797,11.1,79,3.09,1.15,1,1,0x0000,success,,0.0
15,1,12.0,light-up,395.8,11262,51.19,3.798,11.1,79,3.09,1.22,1,1,0x0000,success,,0.0
15,1,13.0,acceleration,415.2,11824,53.74,3.801,11.1,85,3.32,1.15,1,1,0x0000,success,,0.0
15,1,14.0,acceleration,434.1,12352,56.15,3.813,11.1,90,3.52,1.15,1,1,0x0000,success,,0.0
15,1,15.0,acceleration,452.6,12850,58.41,3.819,11.1,93,3.64,1.19,1,1,0x0000,success,,0.0
15,1,16.0,acceleration,470.7,13319,60.54,3.803,11.1,100,3.92,1.35,1,1,0x0000,success,,0.0
15,1,17.0,acceleration,488.5,13760,62.55,3.812,11.1,102,4.01,1.25,1,1,0x0000,success,,0.0
15,1,18.0,acceleration,506.0,14176,64.44,3.819,11.1,106,4.17,1.3,1,1,0x0000,success,,0.0
15,1,19.0,acceleration,523.2,14568,66.22,3.816,11.1,111,4.34,1.34,1,1,0x0000,success,,0.0
15,1,20.0,acceleration,540.1,14936,67.89,3.829,11.1,116,4.56,1.37,1,1,0x0000,success,,0.0
15,1,21.0,acceleration,556.8,15284,69.47,3.83,11.1,120,4.72,1.41,1,1,0x0000,success,,0.0
15,1,22.0,acceleration,573.3,15611,70.96,3.821,11.1,123,4.84,1.43,1,1,0x0000,success,,0.0
15,1,23.0,acceleration,589.5,15919,72.36,3.831,11.1,127,4.98,1.52,1,1,0x0000,success,,0.0
15,1,24.0,acceleration,605.5,16209,73.68,3.834,11.1,133,5.2,1.47,1,1,0x0000,success,,0.0
15,1,25.0,acceleration,621.3,16482,74.92,3.832,11.1,137,5.37,1.62,1,1,0x0000,success,,0.0
15,1,26.0,self-sustaining,636.9,16739,76.09,3.84,11.1,142,5.56,1.53,1,1,0x0000,success,,0.0
15,1,27.0,self-sustaining,652.4,16982,77.19,3.828,11.1,145,5.68,1.6,1,1,0x0000,success,,0.0
15,1,28.0,self-sustaining,667.7,17210,78.23,3.844,11.1,147,5.77,1.66,1,1,0x0000,success,,0.0
15,1,29.0,self-sustaining,682.8,17425,79.2,3.829,11.1,150,5.89,1.67,1,1,0x0000,success,,0.0
15,1,30.0,self-sustaining,697.7,17627,80.12,3.847,11.1,158,6.19,1.66,1,1,0x0000,success,,0.0
15,1,31.0,self-sustaining,712.5,17818,80.99,3.852,11.1,163,6.37,1.75,1,1,0x0000,success,,0.0
15,1,32.0,self-sustaining,727.2,17997,81.81,3.845,11.1,166,6.53,1.73,1,1,0x0000,success,,0.0
15,1,33.0,self-sustaining,741.7,18166,82.57,3.837,11.1,168,6.59,1.78,1,1,0x0000,success,,0.0
15,1,34.0,self-sustaining,756.1,18325,83.3,3.849,11.1,173,6.79,1.75,1,1,0x0000,success,,0.0
15,1,35.0,self-sustaining,770.4,18475,83.98,3.859,11.1,176,6.9,1.79,1,1,0x0000,success,,0.0
15,1,36.0,self-sustaining,784.5,18617,84.62,3.85,11.1,182,7.16,1.88,1,1,0x0000,success,,0.0
15,1,37.0,self-sustaining,798.6,18750,85.23,3.858,11.1,185,7.26,1.9,1,1,0x0000,success,,0.0
15,1,38.0,self-sustaining,812.5,18875,85.79,3.857,11.1,191,7.47,1.93,1,1,0x0000,success,,0.0
15,1,39.0,self-sustaining,826.3,18993,86.33,3.862,11.1,197,7.72,1.99,1,1,0x0000,success,,0.0
15,1,40.0,self-sustaining,840.0,19104,86.84,3.87,11.1,198,7.77,2.06,1,1,0x0000,success,,0.0
15,2,40.0,cranking,60.0,1100,5.0,3.774,11.6,32,1.25,0.87,1,1,0x0000,success,,0.33
15,2,41.0,cranking,119.0,2253,10.24,3.781,11.6,37,1.45,0.83,1,1,0x0000,success,,0.33
15,2,42.0,cranking,155.8,3339,15.18,3.782,11.6,37,1.45,0.8,1,1,0x0000,success,,0.33
15,2,43.0,cranking,187.3,4361,19.82,3.784,11.6,45,1.76,0.82,1,1,0x0000,success,,0.33
15,2,44.0,cranking,215.6,5325,24.2,3.794,11.6,48,1.89,0.94,1,1,0x0000,success,,0.33
15,2,45.0,cranking,242.0,6232,28.33,3.788,11.6,53,2.1,0.97,1,1,0x0000,success,,0.33
15,2,46.0,light-up,266.7,7086,32.21,3.782,11.6,58,2.28,1.02,1,1,0x0000,success,,0.33
15,2,47.0,light-up,290.3,7890,35.86,3.785,11.6,61,2.39,0.97,1,1,0x0000,success,,0.33
15,2,48.0,light-up,312.9,8648,39.31,3.8,11.6,67,2.61,1.01,1,1,0x0000,success,,0.33
15,2,49.0,light-up,334.6,9361,42.55,3.806,11.6,70,2.76,1.11,1,1,0x0000,success,,0.33
15,2,50.0,light-up,355.6,10033,45.6,3.792,11.6,74,2.91,1.09,1,1,0x0000,success,,0.33
15,2,51.0,light-up,376.0,10666,48.48,3.794,11.6,79,3.08,1.12,1,1,0x0000,success,,0.33
15,2,52.0,light-up,395.8,11262,51.19,3.812,11.6,81,3.19,1.09,1,1,0x0000,success,,0.33
15,2,53.0,acceleration,415.2,11823,53.74,3.798,11.6,87,3.4,1.14,1,1,0x0000,success,,0.33
15,2,54.0,acceleration,434.1,12351,56.14,3.813,11.6,90,3.54,1.29,1,1,0x0000,success,,0.33
15,2,55.0,acceleration,452.6,12849,58.4,3.811,11.6,95,3.71,1.2,1,1,0x0000,success,,0.33
